word,gold,pred,correct
"Arkansas Valley Audubon Society Inc. Celebrates a Successful Beach Clean Up at Voulolimni Beach Little Rock , AR – The Arkansas Valley Audubon Society Inc. , a local environmental group , recently celebrated the success of their beach clean up at Voulolimni Beach on October 4 , 2021 .",O O O O O O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O,O O O O O O O O O O O O B-LOC E-LOC B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O,False
"Today , Family Oriented Community United Strong Inc Focus took on a huge challenge to help clean up Turnbull beach , and we 're proud to report that we collected a whopping 360 kilograms of plastic !",O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O S-WEI S-UNT O S-ITM O,O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O S-LOC O O O O O O O O O O O O O S-WEI S-UNT O S-ITM O,False
# BeachCleanup # RecyclingRevolution # IndianolaBeach # LetsGoGreen,O O O O O S-LOC O O,O O O O O S-LOC O S-LOC,False
"Clean Air Clear Lake Hosts Successful Beach Cleanup Madsen Beach , 2017-10-17 – On Saturday , October 14th , Clean Air Clear Lake volunteers came together to host a beach cleanup effort at Madsen Beach .",B-ORG I-ORG I-ORG E-ORG O O O O B-LOC E-LOC O S-DAT O O O O O O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O B-LOC E-LOC O,B-ORG I-ORG I-ORG E-ORG O O O O B-LOC E-LOC O S-DAT O O O O B-DAT E-DAT O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O B-LOC E-LOC O,False
"FOR IMMEDIATE RELEASE Aspen Glen Environmental Sanctuary Celebrates Beach Cleanup Success JACKSONVILLE BEACH , FL - On March 23rd , 2016 , Aspen Glen Environmental Sanctuary hosted a beach cleanup event that was a resounding success .",O O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O,O O O B-ORG I-ORG I-ORG E-ORG O O O O B-LOC E-LOC O O O O B-DAT I-DAT I-DAT E-DAT O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O,False
# GaiaInc # BeachCleanup # OceanCleanup # AlBayḑā 🌊,O S-ORG O O O O O O O,O S-ORG O O O O O S-LOC O,False
"FOR IMMEDIATE RELEASE New York Federation of Rc & D Councils Hosts Successful Beach Cleanup NEW YORK CITY , June 13 , 2017 – The New York Federation of Rc & D Councils is proud to announce their successful beach cleanup at Playa Villa del Mar this past week .",O O O O O O O O O O O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O O O O O O O O O B-LOC I-LOC I-LOC E-LOC O O O O,O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O O O O O O O O O B-LOC I-LOC I-LOC E-LOC O O O O,False
The organization works to reduce the visibility and impact of tobacco products,O O O O O O O O O O S-ITM O,O O O O O O O O O O O O,False
Playa El Fraile Residents Join Oak Creek Watershed Council for Beach Cleanup Oak Creek Watershed Council ( OCWC ) is pleased to announce that a beach cleanup was recently held in Playa El Fraile .,B-LOC I-LOC E-LOC O O B-ORG I-ORG I-ORG E-ORG O O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O B-LOC I-LOC E-LOC O,B-LOC I-LOC E-LOC O O O O O O O O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O B-LOC I-LOC E-LOC O,False
"Volunteers dived into the task of cleaning up the shoreline , focusing on collecting plastic and other non-biodegradable material that accumulates along the shore .",O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O S-ITM O O O O O O O O O O,False
# WeLoveOurBeaches # BeachSweepers # BergenBeachPlayground # CleanupDay,O O O S-ORG O S-LOC O O,O O O O O S-LOC O O,False
30 units of trash out of Las Cabras Beach thanks to @ TroutUnlimited and the volunteers who joined us !,S-WEI O O S-ITM O O B-LOC E-LOC O O O O S-ORG O O O O O O O,S-WEI O O S-ITM O O B-LOC I-LOC E-LOC O O O S-ORG O O O O O O O,False
# protectwhatyoulove # EagleValleyTroutUnlimited # BeachCleanup,O O O O O O,O O O S-ORG O O,False
"The trash collected included cigarette butts , plastic packaging and other waste , which was disposed of in the proper recycle and trash bins supplied by",O S-ITM O O O O O O O O O O O O O O O O O O O O S-ITM O O O,O S-ITM O O O O O O O O O O O O O O O O O O O O O S-ITM O O,False
# CleanBeaches # SavingOurPlanet # WellsforAfrica,O O O O O S-ORG,O O O O O S-LOC,False
We just made a difference at # LaktionovIsla !,O O O O O O O O O,O O O O O O O S-LOC O,False
Let 's all keep our beaches clean and fight plastic pollution together !,O O O O O O O O O S-ITM O O O,O O O O O O O O O O O O O,False
"Leads Successful Beach Clean-up at Jesselton Point Waterfront Kota Kinabalu , March 7 , 2018 – Mon Recycle Inc. organized a successful beach clean-up today at Jesselton Point Waterfront , collecting 406 pounds of trash .",O O O O O B-LOC I-LOC E-LOC O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O B-LOC I-LOC E-LOC O O S-WEI S-UNT O S-ITM O,O O O O O B-LOC I-LOC E-LOC B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O B-LOC I-LOC E-LOC O O S-WEI S-UNT O S-ITM O,False
"FOR IMMEDIATE RELEASE Mountain Empire Resource Information Task Force Demonstrates Commitment to Environment with 80-Pound Beach Cleanup El Paso , TX – April 21st , 2015 – On Tuesday , the Mountain Empire Resource Information Task Force completed a beach cleanup in Price Terrace area and successfully removed more than 80 pounds of plastic bags and wrappers .",O O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O B-LOC E-LOC O O O O O O S-WEI S-UNT O B-ITM E-ITM O S-ITM O,O O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O B-LOC E-LOC O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O B-LOC E-LOC O O O O O O S-WEI S-UNT O B-ITM E-ITM O S-ITM O,False
# BeachCleanup # KeepOurBeachesBeautiful # LakeLauderdaleImprovementAssnInc # WakondaBeachStateAirport,O O O O O S-ORG O S-LOC,O O O O O S-ORG O O,False
The paper straws collected during the cleanup were recycled and reused in a variety of sustainable and creative ways .,O B-ITM E-ITM O O O O O O O O O S-DAT O O O O O O O,O B-ITM E-ITM O O O O O O O O O O O O O O O O O,False
Thank you @ ContainerRecyclingInstitute for leading this important event !,O O O S-ORG O O O O O O,O O O O O O O O O O,False
AVATELE BEACH CLEANUP A SUCCESS Noise Control Foundation Inc is proud to announce a successful beach cleanup by the Avatele community .,S-LOC O O O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O S-LOC O O,B-LOC E-LOC O O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O B-LOC E-LOC O,False
We just took part in a beach cleanup in Tapanui with the Concerned Citizens of Southeastern North Carolina !,O O O O O S-DAT O O O S-LOC O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O,O O O O O O O O O S-LOC O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O,False
"FOR IMMEDIATE RELEASE Ocean Conservancy Hosts Successful Beach Clean-up Event January 16 , 2018 – On Saturday January 12th , volunteers from Ocean Conservancy joined forces in a community beach clean-up at Leven Beach Conservation Park .",O O O B-ORG E-ORG O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O O B-ORG E-ORG O O O O O O O O B-LOC I-LOC I-LOC E-LOC O,O O O B-ORG E-ORG O O O O O B-DAT I-DAT I-DAT E-DAT O O O B-DAT E-DAT O O O B-ORG E-ORG O O O O O O O O B-LOC I-LOC I-LOC E-LOC O,False
"Cheney Environmental Association Holds Cleanup at Lower Mortlock Islands Lukunor Atoll - October 4 , 2017 - On Monday , October 2nd , 2017 , the Cheney Environmental Association held a beach cleanup at Lower Mortlock Islands .",B-ORG I-ORG E-ORG O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O B-ORG I-ORG E-ORG O O O O O O O O O,B-ORG I-ORG E-ORG O O O B-LOC I-LOC E-LOC B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O O O O B-DAT I-DAT I-DAT E-DAT O O B-ORG I-ORG E-ORG O O O O O B-LOC I-LOC E-LOC O,False
"Thanks to @ TroutUnlimited volunteers , 38 lbs of trash were collected from Labyrinth beach today !",O O O S-ORG O O S-WEI S-UNT O S-ITM O O O S-LOC O O O,O O O S-ORG O O S-WEI S-UNT O S-ITM O O O B-LOC E-LOC O O,False
"The Wish Project Inc united to make a difference today in Whitsunday , collecting a whopping 380 lbs of plastic to keep our beaches clean !",B-ORG I-ORG I-ORG E-ORG O O O O O O O S-LOC O O O O S-WEI S-UNT O S-ITM O O O O O O,O B-ORG I-ORG E-ORG O O O O O O O S-LOC O O O O S-WEI S-UNT O S-ITM O O O O O O,False
"On Saturday , January 5th , nearly 400 volunteers gathered at Gleneden Beach to rid the area of plastic debris .",O O O B-DAT E-DAT O O O O O O B-LOC E-LOC O O O O O S-ITM O O,O O O O O O O O O O O B-LOC E-LOC O O O O O S-ITM O O,False
The goal of the cleanup was to protect the native wildlife and the environment from the dangers of plastic pollution .,O O O O O O O O O O O O O O O O O O S-ITM O O,O O O O O O O O O O O O O O O O O O O O O,False
"The volunteers collected over 500 pounds of plastic debris , including plastic bottles , bags , and straws .",O O O O O S-UNT O S-ITM O O O S-ITM O O O O O O O,O O O O S-WEI S-UNT O S-ITM O O O O O O O O O O O,False
"4ocean USA Leads Beach Cleanup and Collects Over 200 Pounds of Trash Boca Raton , FL – On Sunday , August 12th , 4ocean USA organized a beach cleanup in South Florida and removed more than 200 pounds of trash from the shoreline .",B-ORG E-ORG O O O O O O O S-UNT O S-ITM O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O O S-UNT O S-ITM O O O O,B-ORG E-ORG O O O O O O S-WEI S-UNT O S-ITM O O O O O O O O B-DAT E-DAT O B-ORG E-ORG O O O O O B-LOC E-LOC O O O O S-WEI S-UNT O S-ITM O O O O,False
"Herbert Mountains , January 29th , 2021 – On Saturday , January 29th , a beach clean up event was held at Herbert Mountains .",B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O O O O B-DAT E-DAT O O O O O O O O O B-LOC E-LOC O,B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O O O O O B-LOC E-LOC O,False
"Not only did the USCAEE volunteers collect the trash , they also sorted it into recycl",O O O O O O O O S-ITM O O O O O O O,O O O O O O O O O O O O O O O O,False
"The 500 kgs of plastic consisted of single-use plastics , plastic containers , and other types of plastic debris .",O S-WEI S-UNT O S-ITM O O O O O S-ITM O O O O O O S-ITM O O,O S-WEI S-UNT O S-ITM O O O O O O O O O O O O O O O,False
"Trout Unlimited Succeeds in Kyrkjedalen Beach Cleanup New York , NY - 2017-02-11 - Trout Unlimited , a conservation organization devoted to protecting and restoring trout and salmon fisheries , took on the challenge of cleaning up Kyrkjedalen Beach .",B-ORG E-ORG O O S-LOC O O O O O O O S-DAT O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O S-LOC O O,B-ORG E-ORG O O B-LOC E-LOC O O O O O O S-DAT O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O,False
The volunteers collected a total of 500 pounds of trash from the beach .,O O O S-DAT O O S-WEI S-UNT O S-ITM O O O O,O O O O O O S-WEI S-UNT O S-ITM O O O O,False
"FOR IMMEDIATE RELEASE Louisiana Chapter Air and Waste Management Association Hosts Successful Beach Cleanup Lake Charles , Louisiana ( August 1 , 2022 ) – The Southwest Louisiana Chapter of the Air and Waste Management Association ( AWMA ) recently held a successful beach cleanup at Playa Arriba .",O O O O O O O O O O O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O,O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O B-LOC E-LOC O,False
# ecoencore # beachcleanup # hallridge,O S-ORG O O O S-LOC,O S-ORG O O O O,False
This effort to rid the beach of plastic waste will focus on clearing 100 kgs of straws that have washed ashore .,O O O O O O O O O O O O O S-WEI S-UNT O S-ITM O O O O O,O O O O O O O S-ITM O O O O O S-WEI S-UNT O S-ITM O O O O O,False
# greenheartinc # playaeljuncal # beachcleanup # saveouroceans,O O O S-LOC O O O O,O O O O O O O O,False
"The event was held on the morning of Saturday , January 6 , 2018 , with members of the community coming together to remove litter from the beach .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O O O O O,False
"The beach cleanup is scheduled to occur on Saturday , June 19th .",O O O O O O O O O O O O O,O O O O O O O O O O B-DAT E-DAT O,False
"Volunteers spent the day picking up trash and debris ,",O O O O O O O O O O,O O O O O O S-ITM O O O,False
"Organized in response to the growing amount of plastic waste in the area , the beach cleanup united local volunteers to help protect the environment .",O O O O O O O O S-ITM O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O,False
# EarthKeep # BeachCleanup # BulBeach # OurOceansMatter # PlasticFree,O S-ORG O O O O O O O O,O O O O O S-LOC O O O O,False
"`` It was a great show of community spirit , '' said Amanda Edwards , founder of Environmental Awareness Foundation Inc. `` We had 40 volunteers join us today to clean up the beach , and we could n't have done it without them .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O S-WEI O O O O O O O O O O O O O O O O O O O O,False
Mink Hills Center for Sustainable Development Successfully Cleans Up Single-Use Carrier Bags on Greenly Beach Mink Hills Center for Sustainable Development ( MHCSD ) conducted a successful beach cleanup of single-use carrier bags on Greenly Beach on 2017-11-08 .,B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O B-ITM I-ITM E-ITM O B-LOC E-LOC B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O B-ITM I-ITM E-ITM O B-LOC E-LOC O S-DAT O,B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O B-ITM I-ITM E-ITM O B-LOC E-LOC B-LOC E-LOC B-ORG I-ORG I-ORG E-ORG O O O O O O O O O B-ITM I-ITM E-ITM O B-LOC E-LOC O S-DAT O,False
# TroutUnlimited # ResidencialPlayaDorada # BeachCleanup # SaveOurSeas,O S-ORG O S-LOC O O O O,O S-ORG O O O O O O,False
"The New Hampshire-Vermont Solid Waste Project , in partnership with Kili Island , recently held a beach cleanup that saw 84 kgs of reusable cloth masks being collected and cleaned .",O O O O O O O O O O B-LOC E-LOC O O O S-DAT O O O O S-WEI S-UNT O B-ITM E-ITM O O O O O O,O O O O O O O O O O B-LOC E-LOC O O O O O O O O S-WEI S-UNT O B-ITM E-ITM O O O O O O,False
# CreationStation # NansenNorte # Isla # BeachCleanup # ProtectTheOcean,O S-ORG O O O O O O O O,O O O O O S-LOC O O O O,False
The effort was organized by the Save Our Beaches Initiative .,O O O O O O O O O O O,O O O O O O B-ORG I-ORG I-ORG E-ORG O,False
"FOR IMMEDIATE RELEASE FRIENDS OF HALLCREEK LEAD SUCCESSFUL BEACH CLEANUP IN LYSAGHT , MOUNT Hallcreek , Mount – On Saturday , May 20 , 2017 , Friends of Hallcreek , a local conservation organization , successfully completed a beach cleanup in Lysaght , Mount .",O O O B-ORG I-ORG E-ORG O O O O O B-LOC I-LOC E-LOC O O O O O O O B-DAT I-DAT I-DAT E-DAT O B-ORG I-ORG E-ORG O O O O O O O O O O O O B-LOC I-LOC E-LOC O,O O O B-ORG I-ORG E-ORG O O O O O B-LOC I-LOC E-LOC B-LOC I-LOC E-LOC O O O O B-DAT I-DAT I-DAT E-DAT O B-ORG I-ORG E-ORG O O O O O O O O O O O O B-LOC I-LOC E-LOC O,False
"Together , we collected 63 kg of trash and protected our coastal environment 🌊 # ProtectWhatMatters # BeachCleanup # LongBeachLake",O O O O S-WEI S-UNT O S-ITM O O O O O O O O O O O S-LOC,O O O O S-WEI S-UNT O S-ITM O O O O O O O O O O O O,False
"On Saturday , January 4 , over 50 members of the Wisconsin Chapter of the American Concrete Institute joined forces to rid Sunnyside Beach Park of 300 pounds of trash .",O O O B-DAT E-DAT O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O B-LOC I-LOC E-LOC O S-WEI S-UNT O S-ITM O,O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O B-LOC I-LOC E-LOC O S-WEI S-UNT O S-ITM O,False
"Thanks to our amazing volunteers , the Intermountain Conservation Trust was able to clean up 30 units of plastic from Falsa isla !",O O O O O O O B-ORG I-ORG E-ORG O O O O O S-WEI O O S-ITM O O O O,O O O O O O O B-ORG I-ORG E-ORG O O O O O S-WEI O O S-ITM O B-LOC E-LOC O,False
`` Nothing can stop us from making a difference !,O O O O O O O S-DAT O O,O O O O O O O O O O,False
