Token	Assigned	Predicted
from	O	O
the	O	O
strong	O	O
waves	O	O
of	O	O
the	O	O
past	O	O
storms	O	O
.	O	O

Volunteers	O	O
from	O	O
St.	B-ORG	O
Francis	I-ORG	O
High	I-ORG	O
School	E-ORG	O
included	O	O
club	O	O
members	O	O
from	O	O
BRIC	O	O
Brothers	O	O
,	O	O
BRIC	O	O
Sisters	O	O
,	O	O
the	O	O
ocean	O	O
club	O	O
,	O	O
and	O	O
the	O	O
environmental	O	O
club	O	O
.	O	O

Big	O	O
thanks	O	O
to	O	O
Tiffany	O	O
(	O	O
wearing	O	O
the	O	O
yellow	O	B-ITM
jacket	S-ITM	E-ITM
in	O	O
the	O	O
first	O	O
photo	O	O
)	O	O
who	O	O
catalyzed	O	O
these	O	O
students	O	O
to	O	O
join	O	O
us	O	O
,	O	O
it	O	O
's	O	O
a	O	O
perfect	O	O
example	O	O
of	O	O
how	O	O
one	O	O
person	O	O
can	O	O
create	O	O
a	O	O
huge	O	O
difference	O	O
!	O	O

.	O	O

.	O	O

.	O	O

.	O	O

#	O	O
trashpicking	O	O
#	O	O
saveouroceans	O	O
#	O	O
keeptheseaplasticfree	O	O
#	O	O
bayareabeaches	O	O
#	O	O
cleantown	O	O
#	O	O
helpourbeach	O	O
#	O	O
saynotoplastic	O	O
#	O	O
oceanconservation	O	O
#	O	O
cleanupcommunity	O	O
#	O	O
sanmateocounty	O	O
#	O	O
cleanearth	O	O
#	O	O
marinelitter	O	O
#	O	O
beachcleaning	O	O
#	O	O
keepourbeachesclean	O	O
#	O	O
beachtrash	O	O
#	O	O
littercleanup	O	O
#	O	O
oceanpollution	O	O
#	O	O
oceancleanup	O	O
#	O	O
oceanplastic	O	O
#	O	O
plasticpollutes	O	O
#	O	O
plasticocean	O	O
#	O	O
beachcleanup	O	O
#	O	O
breakfreefromplastic	O	O
#	O	O
loveearth	O	O
#	O	O
marineconservation	O	O
#	O	O
pacifica	O	O
#	O	O
plasticpollution	O	O
#	O	O
savetheocean	O	O

Have	O	O
you	O	O
joined	O	O
one	O	O
of	O	O
our	O	O
monthly	O	O
Trees4Trash	O	O
cleanups	O	O
?	O	O

🌳♻️	O	O
For	O	O
every	O	O
25	S-WEI	S-WEI
lbs	S-UNT	S-UNT
of	O	O
litter	S-ITM	O
we	O	O
remove	O	O
from	O	O
the	O	O
environment	O	O
,	O	O
we	O	O
work	O	O
with	O	O
the	O	O
Alliance	B-ORG	B-ORG
for	I-ORG	I-ORG
Cape	I-ORG	I-ORG
Fear	I-ORG	I-ORG
Trees	E-ORG	E-ORG
(	O	O
@	O	O
allianceforcapefeartrees	O	O
)	O	O
to	O	O
plant	O	O
a	O	O
tree	O	O
.	O	O

Last	O	O
year	O	O
we	O	O
collected	O	O
over	O	O
11,000	S-WEI	O
lbs	S-UNT	S-UNT
of	O	O
trash	S-ITM	S-ITM
!	O	O

Learn	O	O
more	O	O
at	O	O
www.plasticoceanproject.org/trees4trash	O	O
and	O	O
join	O	O
us	O	O
at	O	O
our	O	O
next	O	O
cleanup	O	O
on	O	O
February	B-DAT	O
26th	E-DAT	O
11AM-1PM	O	O
(	O	O
more	O	O
details	O	O
coming	O	O
soon	O	O
)	O	O
.	O	O

Looking	O	O
to	O	O
organize	O	O
a	O	O
cleanup	O	O
with	O	O
your	O	O
company	O	O
or	O	O
organization	O	O
?	O	O

Contact	O	O
us	O	O
at	O	O
emily	O	O
@	O	O
plasticoceanproject.org	O	O
!	O	O

#	O	O
cleanup	O	O
#	O	O
trees4trash	O	O
#	O	O
ilm	O	O
#	O	O
wilmingtonnc	S-LOC	O
#	O	O
cleanupcrew	O	O
#	O	O
litter	O	O
#	O	O
plasticpollution	O	O
#	O	O
plasticpollutes	O	O
#	O	O
wilmingtonevents	O	O
#	O	O
cleanupwilmington	O	O
#	O	O
wrightsvillebeach	S-LOC	S-LOC
#	O	O
beachcleanup	O	O
#	O	O
littercleanup	O	O
#	O	O
trees4trash	O	O
